,open,high,low,close,volume,pct_chg,ret
2007-01-04,0.0,0.0,0.0,99.9655,0.0,0.10304158,0.0010304157999999999
2007-01-05,0.0,0.0,0.0,100.0636,0.0,0.09813386,0.0009813386
2007-01-08,0.0,0.0,0.0,100.0121,0.0,-0.05146727,-0.0005146727
2007-01-09,0.0,0.0,0.0,99.4775,0.0,-0.53453532,-0.005345353200000001
2007-01-10,0.0,0.0,0.0,99.5135,0.0,0.03618909,0.0003618909
2007-01-11,0.0,0.0,0.0,99.6124,0.0,0.0993835,0.000993835
2007-01-12,0.0,0.0,0.0,99.5333,0.0,-0.07940778,-0.0007940778
2007-01-15,0.0,0.0,0.0,99.5422,0.0,0.00894173,8.94173e-05
2007-01-16,0.0,0.0,0.0,99.6322,0.0,0.09041391,0.0009041391
2007-01-17,0.0,0.0,0.0,99.6256,0.0,-0.00662436,-6.62436e-05
2007-01-18,0.0,0.0,0.0,99.6128,0.0,-0.0128481,-0.000128481
2007-01-19,0.0,0.0,0.0,99.6111,0.0,-0.00170661,-1.70661e-05
2007-01-22,0.0,0.0,0.0,99.7808,0.0,0.17036254,0.0017036254
2007-01-23,0.0,0.0,0.0,99.6307,0.0,-0.15042974,-0.0015042974
2007-01-24,0.0,0.0,0.0,99.7458,0.0,0.11552664,0.0011552664
2007-01-25,0.0,0.0,0.0,99.6522,0.0,-0.09383854,-0.0009383853999999999
2007-01-26,0.0,0.0,0.0,99.6807,0.0,0.02859947,0.0002859947
2007-01-29,0.0,0.0,0.0,99.7993,0.0,0.1189799,0.001189799
2007-01-30,0.0,0.0,0.0,99.5906,0.0,-0.2091197,-0.002091197
2007-01-31,0.0,0.0,0.0,99.5703,0.0,-0.02038345,-0.00020383450000000002
2007-02-01,0.0,0.0,0.0,99.3865,0.0,-0.1845932,-0.0018459320000000002
2007-02-02,0.0,0.0,0.0,99.2807,0.0,-0.10645309,-0.0010645309
2007-02-05,0.0,0.0,0.0,99.4941,0.0,0.21494611,0.0021494611
2007-02-06,0.0,0.0,0.0,99.4372,0.0,-0.05718932,-0.0005718932
2007-02-07,0.0,0.0,0.0,99.4572,0.0,0.0201132,0.00020113200000000003
2007-02-08,0.0,0.0,0.0,99.4685,0.0,0.01136167,0.00011361670000000001
2007-02-09,0.0,0.0,0.0,99.374,0.0,-0.09500495,-0.0009500495000000001
2007-02-12,0.0,0.0,0.0,99.3154,0.0,-0.05896915,-0.0005896915
2007-02-13,0.0,0.0,0.0,99.3677,0.0,0.05266051,0.0005266051
2007-02-14,0.0,0.0,0.0,99.398,0.0,0.03049281,0.00030492809999999997
2007-02-15,0.0,0.0,0.0,99.3663,0.0,-0.03189199,-0.0003189199
2007-02-16,0.0,0.0,0.0,99.729,0.0,0.36501309,0.0036501309
2007-02-26,0.0,0.0,0.0,99.8366,0.0,0.12767114,0.0012767114
2007-02-27,0.0,0.0,0.0,99.7606,0.0,-0.07612439,-0.0007612439
2007-02-28,0.0,0.0,0.0,99.6712,0.0,-0.08961454,-0.0008961454
2007-03-01,0.0,0.0,0.0,99.8269,0.0,0.15621363,0.0015621362999999999
2007-03-02,0.0,0.0,0.0,99.7827,0.0,-0.04427664,-0.0004427664
2007-03-05,0.0,0.0,0.0,99.8055,0.0,0.02284965,0.0002284965
2007-03-06,0.0,0.0,0.0,99.9209,0.0,0.11562489,0.0011562489
2007-03-07,0.0,0.0,0.0,99.9287,0.0,0.00780617,7.80617e-05
2007-03-08,0.0,0.0,0.0,99.9407,0.0,0.01200856,0.0001200856
2007-03-09,0.0,0.0,0.0,99.9176,0.0,-0.02311371,-0.0002311371
2007-03-12,0.0,0.0,0.0,100.1036,0.0,0.18615339,0.0018615339
2007-03-13,0.0,0.0,0.0,100.0959,0.0,-0.00769203,-7.69203e-05
2007-03-14,0.0,0.0,0.0,100.0979,0.0,0.00199808,1.99808e-05
2007-03-15,0.0,0.0,0.0,100.0942,0.0,-0.00369638,-3.69638e-05
2007-03-16,0.0,0.0,0.0,100.1116,0.0,0.01738362,0.00017383619999999998
2007-03-19,0.0,0.0,0.0,100.0518,0.0,-0.05973334,-0.0005973334
2007-03-20,0.0,0.0,0.0,100.0273,0.0,-0.02448732,-0.0002448732
2007-03-21,0.0,0.0,0.0,100.1728,0.0,0.14546029,0.0014546029
2007-03-22,0.0,0.0,0.0,100.1294,0.0,-0.04332513,-0.00043325130000000005
2007-03-23,0.0,0.0,0.0,100.0596,0.0,-0.0697098,-0.000697098
2007-03-26,0.0,0.0,0.0,100.0795,0.0,0.01988815,0.0001988815
2007-03-27,0.0,0.0,0.0,100.0619,0.0,-0.01758602,-0.0001758602
2007-03-28,0.0,0.0,0.0,100.1683,0.0,0.10633418,0.0010633418
2007-03-29,0.0,0.0,0.0,100.1925,0.0,0.02415934,0.00024159340000000002
2007-03-30,0.0,0.0,0.0,100.2097,0.0,0.01716695,0.0001716695
2007-04-02,0.0,0.0,0.0,100.2452,0.0,0.03542571,0.0003542571
2007-04-03,0.0,0.0,0.0,100.3168,0.0,0.07142487,0.0007142487
2007-04-04,0.0,0.0,0.0,100.2292,0.0,-0.08732336,-0.0008732336
2007-04-05,0.0,0.0,0.0,100.2461,0.0,0.01686135,0.0001686135
2007-04-06,0.0,0.0,0.0,100.228,0.0,-0.01805557,-0.0001805557
2007-04-09,0.0,0.0,0.0,100.0982,0.0,-0.12950473,-0.0012950473000000002
2007-04-10,0.0,0.0,0.0,100.0173,0.0,-0.08082063,-0.0008082063
2007-04-11,0.0,0.0,0.0,99.975,0.0,-0.04229268,-0.0004229268
2007-04-12,0.0,0.0,0.0,99.9339,0.0,-0.04111028,-0.0004111028
2007-04-13,0.0,0.0,0.0,99.9564,0.0,0.02251488,0.00022514880000000002
2007-04-16,0.0,0.0,0.0,100.025,0.0,0.06862992,0.0006862992
2007-04-17,0.0,0.0,0.0,99.9467,0.0,-0.07828043,-0.0007828043
2007-04-18,0.0,0.0,0.0,99.9618,0.0,0.01510805,0.0001510805
2007-04-19,0.0,0.0,0.0,99.9563,0.0,-0.0055021,-5.5021e-05
2007-04-20,0.0,0.0,0.0,99.8829,0.0,-0.07343209,-0.0007343209000000001
2007-04-23,0.0,0.0,0.0,99.888,0.0,0.00510598,5.10598e-05
2007-04-24,0.0,0.0,0.0,99.9085,0.0,0.02052299,0.0002052299
2007-04-25,0.0,0.0,0.0,99.8677,0.0,-0.04083737,-0.0004083737
2007-04-26,0.0,0.0,0.0,99.8598,0.0,-0.00791047,-7.910469999999999e-05
2007-04-27,0.0,0.0,0.0,99.8119,0.0,-0.04796725,-0.0004796725
2007-04-30,0.0,0.0,0.0,100.0318,0.0,0.04330498,0.0004330498
2007-05-08,0.0,0.0,0.0,100.0569,0.0,0.02509202,0.0002509202
2007-05-09,0.0,0.0,0.0,99.4876,0.0,-0.56897625,-0.0056897625
2007-05-10,0.0,0.0,0.0,99.4033,0.0,-0.08473418,-0.0008473418000000001
2007-05-11,0.0,0.0,0.0,99.3601,0.0,-0.04345932,-0.0004345932
2007-05-14,0.0,0.0,0.0,99.3548,0.0,-0.00533413,-5.3341300000000004e-05
2007-05-15,0.0,0.0,0.0,99.2861,0.0,-0.06914613,-0.0006914613
2007-05-16,0.0,0.0,0.0,99.293,0.0,0.00694961,6.949610000000001e-05
2007-05-17,0.0,0.0,0.0,99.2134,0.0,-0.08016678,-0.0008016678000000001
2007-05-18,0.0,0.0,0.0,99.1594,0.0,-0.05442813,-0.0005442813
2007-05-21,0.0,0.0,0.0,98.7917,0.0,-0.37081709,-0.0037081709
2007-05-22,0.0,0.0,0.0,98.6738,0.0,-0.11934201,-0.0011934201
2007-05-23,0.0,0.0,0.0,98.6153,0.0,-0.05928625,-0.0005928624999999999
2007-05-24,0.0,0.0,0.0,98.5663,0.0,-0.04968803,-0.0004968803
2007-05-25,0.0,0.0,0.0,98.597,0.0,0.03114655,0.0003114655
2007-05-28,0.0,0.0,0.0,98.6018,0.0,0.0048683,4.8683e-05
2007-05-29,0.0,0.0,0.0,98.7292,0.0,0.12920657,0.0012920657
