,open,high,low,close,volume,pct_chg,ret
2007-01-04,0.0,0.0,0.0,158.58,0.0,0.0,0.0
2007-01-05,0.0,0.0,0.0,156.94,0.0,0.0,-0.01034178332702751
2007-01-08,0.0,0.0,0.0,153.72,0.0,0.0,-0.020517395182872433
2007-01-09,0.0,0.0,0.0,154.45,0.0,0.0,0.004748894093156375
2007-01-10,0.0,0.0,0.0,154.34,0.0,0.0,-0.0007122045969568669
2007-01-11,0.0,0.0,0.0,153.86,0.0,0.0,-0.0031100168459244903
2007-01-12,0.0,0.0,0.0,154.23,0.0,0.0,0.002404783569478486
2007-01-15,0.0,0.0,0.0,156.92,0.0,0.0,0.017441483498670696
2007-01-16,0.0,0.0,0.0,156.8,0.0,0.0,-0.000764720876879732
2007-01-17,0.0,0.0,0.0,156.48,0.0,0.0,-0.0020408163265307477
2007-01-18,0.0,0.0,0.0,157.8,0.0,0.0,0.008435582822086118
2007-01-19,0.0,0.0,0.0,157.48,0.0,0.0,-0.0020278833967047882
2007-01-22,0.0,0.0,0.0,158.66,0.0,0.0,0.007493014986029944
2007-01-23,0.0,0.0,0.0,158.82,0.0,0.0,0.0010084457330139518
2007-01-24,0.0,0.0,0.0,160.41,0.0,0.0,0.010011333585190796
2007-01-25,0.0,0.0,0.0,161.28,0.0,0.0,0.00542360201982417
2007-01-26,0.0,0.0,0.0,161.31,0.0,0.0,0.00018601190476186247
2007-01-29,0.0,0.0,0.0,161.51,0.0,0.0,0.0012398487384537304
2007-01-30,0.0,0.0,0.0,160.69,0.0,0.0,-0.005077085010216087
2007-01-31,0.0,0.0,0.0,161.22,0.0,0.0,0.0032982761839566166
2007-02-01,0.0,0.0,0.0,162.65,0.0,0.0,0.008869867262126352
2007-02-02,0.0,0.0,0.0,163.31,0.0,0.0,0.0040577928066400926
2007-02-05,0.0,0.0,0.0,161.65,0.0,0.0,-0.010164717408609358
2007-02-06,0.0,0.0,0.0,162.19,0.0,0.0,0.0033405505722239326
2007-02-07,0.0,0.0,0.0,163.48,0.0,0.0,0.007953634626055806
2007-02-08,0.0,0.0,0.0,162.58,0.0,0.0,-0.005505260582334137
2007-02-09,0.0,0.0,0.0,164.03,0.0,0.0,0.008918686185262592
2007-02-12,0.0,0.0,0.0,165.56,0.0,0.0,0.009327562031335779
2007-02-13,0.0,0.0,0.0,165.17,0.0,0.0,-0.0023556414592897923
2007-02-14,0.0,0.0,0.0,166.14,0.0,0.0,0.005872737179875243
2007-02-15,0.0,0.0,0.0,166.59,0.0,0.0,0.0027085590465874
2007-02-16,0.0,0.0,0.0,166.21,0.0,0.0,-0.0022810492826700335
2007-02-26,0.0,0.0,0.0,170.7,0.0,0.0,0.027014018410444596
2007-02-27,0.0,0.0,0.0,170.3,0.0,0.0,-0.0023432923257175053
2007-02-28,0.0,0.0,0.0,167.25,0.0,0.0,-0.01790957134468596
2007-03-01,0.0,0.0,0.0,167.9,0.0,0.0,0.0038863976083707286
2007-03-02,0.0,0.0,0.0,164.81,0.0,0.0,-0.01840381179273376
2007-03-05,0.0,0.0,0.0,159.6,0.0,0.0,-0.03161215945634377
2007-03-06,0.0,0.0,0.0,161.19,0.0,0.0,0.009962406015037617
2007-03-07,0.0,0.0,0.0,160.8,0.0,0.0,-0.002419504932067662
2007-03-08,0.0,0.0,0.0,163.1,0.0,0.0,0.014303482587064487
2007-03-09,0.0,0.0,0.0,163.0,0.0,0.0,-0.0006131207847945852
2007-03-12,0.0,0.0,0.0,162.77,0.0,0.0,-0.0014110429447852235
2007-03-13,0.0,0.0,0.0,162.28,0.0,0.0,-0.0030103827486638313
2007-03-14,0.0,0.0,0.0,160.28,0.0,0.0,-0.012324377618930238
2007-03-15,0.0,0.0,0.0,161.09,0.0,0.0,0.005053656101821735
2007-03-16,0.0,0.0,0.0,161.72,0.0,0.0,0.003910857284747715
2007-03-19,0.0,0.0,0.0,163.44,0.0,0.0,0.01063566658421955
2007-03-20,0.0,0.0,0.0,163.02,0.0,0.0,-0.0025697503671071598
2007-03-21,0.0,0.0,0.0,164.09,0.0,0.0,0.0065636118267697885
2007-03-22,0.0,0.0,0.0,165.15,0.0,0.0,0.006459869583764988
2007-03-23,0.0,0.0,0.0,164.5,0.0,0.0,-0.0039358159249167635
2007-03-26,0.0,0.0,0.0,164.15,0.0,0.0,-0.0021276595744680327
2007-03-27,0.0,0.0,0.0,165.22,0.0,0.0,0.006518428266829135
2007-03-28,0.0,0.0,0.0,165.5,0.0,0.0,0.001694710083524953
2007-03-29,0.0,0.0,0.0,165.27,0.0,0.0,-0.0013897280966767012
2007-03-30,0.0,0.0,0.0,165.36,0.0,0.0,0.0005445634416409995
2007-04-02,0.0,0.0,0.0,165.27,0.0,0.0,-0.0005442670537010308
2007-04-03,0.0,0.0,0.0,165.39,0.0,0.0,0.0007260845888543699
2007-04-04,0.0,0.0,0.0,166.45,0.0,0.0,0.00640909365741571
2007-04-05,0.0,0.0,0.0,167.19,0.0,0.0,0.004445779513367443
2007-04-06,0.0,0.0,0.0,167.5,0.0,0.0,0.001854177881452257
2007-04-09,0.0,0.0,0.0,166.98,0.0,0.0,-0.003104477611940326
2007-04-10,0.0,0.0,0.0,168.12,0.0,0.0,0.00682716492993185
2007-04-11,0.0,0.0,0.0,168.38,0.0,0.0,0.0015465143944801696
2007-04-12,0.0,0.0,0.0,168.84,0.0,0.0,0.002731915904501836
2007-04-13,0.0,0.0,0.0,168.29,0.0,0.0,-0.003257521914238448
2007-04-16,0.0,0.0,0.0,170.32,0.0,0.0,0.012062511141482046
2007-04-17,0.0,0.0,0.0,170.82,0.0,0.0,0.002935650540159651
2007-04-18,0.0,0.0,0.0,171.79,0.0,0.0,0.0056784919798618105
2007-04-19,0.0,0.0,0.0,170.08,0.0,0.0,-0.009954013621281677
2007-04-20,0.0,0.0,0.0,170.57,0.0,0.0,0.00288099717779855
2007-04-23,0.0,0.0,0.0,171.72,0.0,0.0,0.006742100017588015
2007-04-24,0.0,0.0,0.0,171.85,0.0,0.0,0.000757046354530555
2007-04-25,0.0,0.0,0.0,170.61,0.0,0.0,-0.007215594995635621
2007-04-26,0.0,0.0,0.0,170.63,0.0,0.0,0.00011722642283551465
2007-04-27,0.0,0.0,0.0,167.63,0.0,0.0,-0.017581902361835544
2007-04-30,0.0,0.0,0.0,168.23,0.0,0.0,0.0035793115790729857
2007-05-08,0.0,0.0,0.0,170.03,0.0,0.0,0.010699637401176965
2007-05-09,0.0,0.0,0.0,170.09,0.0,0.0,0.0003528789037228197
2007-05-10,0.0,0.0,0.0,168.51,0.0,0.0,-0.009289199835381345
2007-05-11,0.0,0.0,0.0,165.79,0.0,0.0,-0.016141475283365958
2007-05-14,0.0,0.0,0.0,166.4,0.0,0.0,0.003679353398878149
2007-05-15,0.0,0.0,0.0,166.0,0.0,0.0,-0.0024038461538461453
2007-05-16,0.0,0.0,0.0,166.6,0.0,0.0,0.0036144578313253017
2007-05-17,0.0,0.0,0.0,164.45,0.0,0.0,-0.012905162064825948
2007-05-18,0.0,0.0,0.0,162.66,0.0,0.0,-0.010884767406506457
2007-05-21,0.0,0.0,0.0,163.58,0.0,0.0,0.005655969506947134
2007-05-22,0.0,0.0,0.0,163.74,0.0,0.0,0.000978114683946707
2007-05-23,0.0,0.0,0.0,162.87,0.0,0.0,-0.005313301575668783
2007-05-24,0.0,0.0,0.0,163.14,0.0,0.0,0.0016577638607477851
2007-05-25,0.0,0.0,0.0,161.41,0.0,0.0,-0.010604388868456494
2007-05-28,0.0,0.0,0.0,161.79,0.0,0.0,0.002354253144166929
2007-05-29,0.0,0.0,0.0,161.82,0.0,0.0,0.00018542555164091645
2007-05-30,0.0,0.0,0.0,161.55,0.0,0.0,-0.0016685205784203738
2007-05-31,0.0,0.0,0.0,162.16,0.0,0.0,0.003775920767564056
2007-06-01,0.0,0.0,0.0,163.25,0.0,0.0,0.006721756290083869
2007-06-04,0.0,0.0,0.0,164.87,0.0,0.0,0.009923430321592708
2007-06-05,0.0,0.0,0.0,165.4,0.0,0.0,0.0032146539697943677
2007-06-06,0.0,0.0,0.0,165.03,0.0,0.0,-0.002237001209189904
2007-06-07,0.0,0.0,0.0,165.03,0.0,0.0,0.0
2007-06-08,0.0,0.0,0.0,162.39,0.0,0.0,-0.015997091437920496
2007-06-11,0.0,0.0,0.0,161.13,0.0,0.0,-0.007759098466654346
2007-06-12,0.0,0.0,0.0,160.82,0.0,0.0,-0.0019239123688946647
2007-06-13,0.0,0.0,0.0,159.0,0.0,0.0,-0.011317000373087915
2007-06-14,0.0,0.0,0.0,160.2,0.0,0.0,0.007547169811320753
2007-06-15,0.0,0.0,0.0,160.18,0.0,0.0,-0.00012484394506850904
2007-06-18,0.0,0.0,0.0,161.9,0.0,0.0,0.0107379198401798
2007-06-19,0.0,0.0,0.0,161.35,0.0,0.0,-0.0033971587399630465
2007-06-20,0.0,0.0,0.0,162.0,0.0,0.0,0.004028509451502904
2007-06-21,0.0,0.0,0.0,161.13,0.0,0.0,-0.005370370370370359
2007-06-22,0.0,0.0,0.0,160.46,0.0,0.0,-0.004158133184385182
2007-06-25,0.0,0.0,0.0,160.13,0.0,0.0,-0.0020565873114796185
2007-06-26,0.0,0.0,0.0,159.76,0.0,0.0,-0.0023106226191219603
2007-06-27,0.0,0.0,0.0,157.27,0.0,0.0,-0.015585878818227261
2007-06-28,0.0,0.0,0.0,158.46,0.0,0.0,0.00756660520124619
2007-06-29,0.0,0.0,0.0,158.8,0.0,0.0,0.0021456518995330853
2007-07-02,0.0,0.0,0.0,159.3,0.0,0.0,0.0031486146095718315
2007-07-03,0.0,0.0,0.0,161.03,0.0,0.0,0.010860012554927634
2007-07-04,0.0,0.0,0.0,160.29,0.0,0.0,-0.004595417003043001
2007-07-05,0.0,0.0,0.0,160.33,0.0,0.0,0.0002495476948032316
2007-07-06,0.0,0.0,0.0,158.83,0.0,0.0,-0.009355703860787101
2007-07-09,0.0,0.0,0.0,160.32,0.0,0.0,0.009381099288547468
2007-07-10,0.0,0.0,0.0,161.07,0.0,0.0,0.0046781437125749115
2007-07-11,0.0,0.0,0.0,162.19,0.0,0.0,0.006953498478922127
2007-07-12,0.0,0.0,0.0,161.36,0.0,0.0,-0.0051174548369196105
2007-07-13,0.0,0.0,0.0,162.09,0.0,0.0,0.004524045612295469
2007-07-16,0.0,0.0,0.0,162.32,0.0,0.0,0.0014189647726570165
2007-07-17,0.0,0.0,0.0,162.24,0.0,0.0,-0.0004928536224739766
2007-07-18,0.0,0.0,0.0,162.75,0.0,0.0,0.003143491124260267
2007-07-19,0.0,0.0,0.0,163.58,0.0,0.0,0.005099846390169027
2007-07-20,0.0,0.0,0.0,164.58,0.0,0.0,0.006113216774666919
2007-07-23,0.0,0.0,0.0,165.79,0.0,0.0,0.0073520476364077325
2007-07-24,0.0,0.0,0.0,165.86,0.0,0.0,0.0004222208818385198
2007-07-25,0.0,0.0,0.0,164.92,0.0,0.0,-0.005667430362956916
2007-07-26,0.0,0.0,0.0,164.56,0.0,0.0,-0.0021828765462040822
2007-07-27,0.0,0.0,0.0,161.63,0.0,0.0,-0.01780505590666026
2007-07-30,0.0,0.0,0.0,161.79,0.0,0.0,0.000989915238507777
2007-07-31,0.0,0.0,0.0,162.21,0.0,0.0,0.0025959577229743847
2007-08-01,0.0,0.0,0.0,160.97,0.0,0.0,-0.0076444115652549716
