,open,high,low,close,volume,pct_chg,ret
2007-01-04,2073.25,2139.494,2054.242,2067.092,10671970700.0,1.27606077,0.0127606077
2007-01-05,2051.152,2083.402,2030.762,2072.883,9274344700.0,0.28015202,0.0028015202
2007-01-08,2072.005,2131.737,2071.721,2131.556,8476790900.0,2.83050225,0.0283050225
2007-01-09,2137.485,2201.36,2128.064,2200.086,8157762900.0,3.21502227,0.0321502227
2007-01-10,2210.757,2255.966,2194.77,2255.966,8490497900.0,2.53990071,0.0253990071
2007-01-11,2257.01,2289.95,2224.366,2231.629,8627654800.0,-1.07878399,-0.0107878399
2007-01-12,2215.859,2249.543,2159.775,2173.747,7652572000.0,-2.59371069,-0.0259371069
2007-01-15,2170.943,2287.684,2170.943,2287.342,6640309700.0,5.22576914,0.0522576914
2007-01-16,2310.963,2354.431,2297.238,2353.874,7636425400.0,2.90870364,0.029087036400000002
2007-01-17,2360.41,2393.218,2266.344,2308.931,8901554000.0,-1.90932055,-0.019093205499999998
2007-01-18,2292.173,2325.528,2240.214,2317.095,7864860600.0,0.35358354,0.0035358354
2007-01-19,2320.873,2396.093,2320.873,2396.093,8333402200.0,3.40935525,0.0340935525
2007-01-22,2424.815,2491.711,2424.815,2491.313,9389299300.0,3.97396929,0.0397396929
2007-01-23,2508.265,2516.593,2415.111,2508.13,10233761600.0,0.67502558,0.0067502558
2007-01-24,2508.523,2556.099,2489.932,2536.428,8443369700.0,1.12825093,0.0112825093
2007-01-25,2512.459,2529.432,2449.051,2452.831,8105515100.0,-3.29585543,-0.0329585543
2007-01-26,2415.746,2524.243,2356.982,2512.922,7865400800.0,2.44986304,0.0244986304
2007-01-29,2529.943,2582.405,2521.503,2576.917,8545208500.0,2.54663694,0.0254663694
2007-01-30,2586.523,2599.452,2531.776,2551.884,7821152800.0,-0.97143214,-0.0097143214
2007-01-31,2544.3,2548.175,2367.67,2385.335,8090913700.0,-6.52651139,-0.06526511389999999
2007-02-01,2350.596,2410.422,2310.569,2395.172,6507809500.0,0.4123949,0.004123949
2007-02-02,2397.058,2403.619,2293.277,2298.003,5937715400.0,-4.0568694,-0.040568694
2007-02-05,2282.77,2304.318,2247.929,2271.797,4758750600.0,-1.14038145,-0.0114038145
2007-02-06,2271.372,2316.702,2198.901,2316.04,6701064800.0,1.94748915,0.0194748915
2007-02-07,2330.428,2390.867,2330.428,2369.787,7010639000.0,2.32064213,0.0232064213
2007-02-08,2376.629,2415.959,2354.697,2410.601,6265654000.0,1.72226449,0.0172226449
2007-02-09,2412.644,2417.643,2376.022,2397.245,5551553200.0,-0.5540527,-0.005540527
2007-02-12,2397.849,2485.759,2396.786,2485.392,5499232000.0,3.67701257,0.0367701257
2007-02-13,2498.345,2526.227,2489.66,2522.63,5152886200.0,1.49827472,0.0149827472
2007-02-14,2527.56,2594.661,2520.533,2588.349,6277727900.0,2.60517793,0.0260517793
2007-02-15,2607.626,2669.183,2607.626,2668.633,7163132900.0,3.10174555,0.0310174555
2007-02-16,2692.67,2717.57,2660.486,2676.735,7590878500.0,0.30360113,0.0030360113
2007-02-26,2679.265,2710.301,2641.12,2707.676,7453156000.0,1.15592317,0.0115592317
2007-02-27,2717.812,2719.519,2454.918,2457.492,10773680700.0,-9.23980565,-0.09239805649999999
2007-02-28,2413.422,2554.226,2413.327,2544.571,8282257100.0,3.5434093,0.035434093
2007-03-01,2550.26,2550.328,2439.503,2473.544,8215965500.0,-2.79131531,-0.027913153099999997
2007-03-02,2468.672,2523.856,2455.819,2508.729,5794680500.0,1.42245297,0.014224529699999999
2007-03-05,2503.816,2541.818,2409.715,2475.606,6851748800.0,-1.32031001,-0.0132031001
2007-03-06,2467.741,2539.453,2452.142,2520.293,5263315300.0,1.80509338,0.0180509338
2007-03-07,2532.975,2594.458,2532.148,2589.436,5972094900.0,2.74345086,0.027434508599999997
2007-03-08,2597.715,2628.448,2565.109,2627.63,5538655900.0,1.47499301,0.0147499301
2007-03-09,2632.8,2643.809,2587.488,2611.393,7041132600.0,-0.61793327,-0.0061793327
2007-03-12,2612.957,2619.498,2563.367,2616.172,6246892100.0,0.18300578,0.0018300578
2007-03-13,2620.715,2641.626,2605.234,2640.169,6578890800.0,0.9172562,0.009172562
2007-03-14,2609.927,2625.123,2546.646,2597.357,6895208800.0,-1.62156286,-0.0162156286
2007-03-15,2595.543,2645.877,2595.543,2645.546,6377848900.0,1.85530907,0.0185530907
2007-03-16,2656.009,2665.39,2576.316,2604.226,7533185000.0,-1.5618704,-0.015618704
2007-03-19,2533.711,2674.798,2523.302,2659.413,7398356600.0,2.11913252,0.0211913252
2007-03-20,2669.635,2674.47,2645.25,2672.771,6124972600.0,0.5022913,0.005022913
