date,ivix
2015-02-09,28.6316
2015-02-10,28.7454
2015-02-11,26.4399
2015-02-12,25.7972
2015-02-13,23.4082
2015-02-16,23.7066
2015-02-17,24.3038
2015-02-25,26.3277
2015-02-26,26.1019
2015-02-27,27.0375
2015-03-02,28.0548
2015-03-03,28.4514
2015-03-04,27.6775
2015-03-05,26.665
2015-03-06,26.4686
2015-03-09,27.2221
2015-03-10,26.215
2015-03-11,25.8558
2015-03-12,25.9262
2015-03-13,25.0115
2015-03-16,25.1354
2015-03-17,25.249
2015-03-18,25.1412
2015-03-19,27.2979
2015-03-20,26.4662
2015-03-23,28.7566
2015-03-24,30.6705
2015-03-25,30.1591
2015-03-26,29.0645
2015-03-27,29.2751
2015-03-30,27.8729
2015-03-31,30.089
2015-04-01,30.3633
2015-04-02,31.7668
2015-04-03,31.1696
2015-04-07,29.509
2015-04-08,31.9784
2015-04-09,35.0614
2015-04-10,33.4114
2015-04-13,36.8629
2015-04-14,40.1463
2015-04-15,40.1346
2015-04-16,37.3613
2015-04-17,41.5703
2015-04-20,47.7518
2015-04-21,46.9036
2015-04-22,44.2823
2015-04-23,44.7196
2015-04-24,45.6458
2015-04-27,44.883
2015-04-28,46.5887
2015-04-29,46.6082
2015-04-30,46.5508
2015-05-04,46.1333
2015-05-05,45.4555
2015-05-06,45.5531
2015-05-07,46.7844
2015-05-08,44.9657
2015-05-11,45.7832
2015-05-12,45.9665
2015-05-13,46.0297
2015-05-14,44.9597
2015-05-15,41.4432
2015-05-18,37.4794
2015-05-19,37.2792
2015-05-20,41.5153
2015-05-21,42.0539
2015-05-22,43.0132
2015-05-25,45.8029
2015-05-26,45.8141
2015-05-27,46.9093
2015-05-28,46.6321
2015-05-29,47.2911
2015-06-01,47.2164
2015-06-02,47.6105
2015-06-03,47.8958
2015-06-04,46.5651
2015-06-05,46.5987
2015-06-08,43.6599
2015-06-09,47.5486
2015-06-10,48.0675
2015-06-11,49.7448
2015-06-12,49.7596
2015-06-15,48.0577
2015-06-16,47.273
2015-06-17,47.3137
2015-06-18,47.0826
2015-06-19,46.9001
2015-06-23,51.1692
2015-06-24,52.0489
2015-06-25,47.4239
2015-06-26,48.0836
2015-06-29,60.0891
2015-06-30,59.2061
2015-07-01,55.9109
2015-07-02,57.5449
2015-07-03,55.1503
2015-07-06,60.0779
2015-07-07,54.8365
2015-07-08,51.7027
2015-07-09,55.3411
2015-07-10,54.0227
2015-07-13,52.9624
2015-07-14,49.3106
2015-07-15,45.0561
2015-07-16,41.6284
2015-07-17,39.3268
2015-07-20,38.7251
2015-07-21,38.7903
2015-07-22,35.2575
2015-07-23,32.984
2015-07-24,33.0885
2015-07-27,30.4088
2015-07-28,39.518
2015-07-29,41.7908
2015-07-30,37.4274
2015-07-31,40.1739
2015-08-03,40.4451
2015-08-04,40.0245
2015-08-05,40.2605
2015-08-06,41.5067
2015-08-07,40.7918
2015-08-10,40.7498
2015-08-11,40.1818
2015-08-12,39.8311
2015-08-13,39.6113
2015-08-14,39.6506
2015-08-17,40.0616
2015-08-18,39.0725
2015-08-19,37.4212
2015-08-20,38.0322
2015-08-21,35.2022
2015-08-24,35.6079
2015-08-25,48.3377
2015-08-26,63.7886
2015-08-27,61.1441
2015-08-28,61.1636
2015-08-31,62.2757
2015-09-01,63.3325
2015-09-02,60.8786
2015-09-07,59.4933
2015-09-08,47.9826
2015-09-09,45.6272
2015-09-10,41.7812
2015-09-11,40.8639
2015-09-14,42.346
2015-09-15,44.6282
2015-09-16,41.3402
2015-09-17,41.0635
2015-09-18,40.1929
2015-09-21,39.8087
2015-09-22,37.1681
2015-09-23,38.9306
2015-09-24,37.6316
2015-09-25,34.9099
2015-09-28,31.9261
2015-09-29,31.0967
2015-09-30,30.654
2015-10-08,31.704
