S_INFO_WINDCODE,ETF_CLASS_NAME,FUND_NAME,FUND_FULLNAME,FUND_MANAGER,S_INFO_INDEXWINDCODE,ENTRY_DT,REMOVE_DT
520820.SH,跨境主题指数ETF,恒生港股通ETF,汇添富恒指港股通交易型开放式指数证券投资基金,汇添富基金,HSISC.HI,20251119,
520820.SH,跨境ETF,恒生港股通ETF,汇添富恒指港股通交易型开放式指数证券投资基金,汇添富基金,HSISC.HI,20251119,
159142.SZ,主题指数ETF,科创创业人工智能ETF景顺,景顺长城中证科创创业人工智能交易型开放式指数证券投资基金,景顺长城基金,932456.CSI,20251205,
159142.SZ,股票型ETF,科创创业人工智能ETF景顺,景顺长城中证科创创业人工智能交易型开放式指数证券投资基金,景顺长城基金,932456.CSI,20251205,
159141.SZ,主题指数ETF,科创创业人工智能ETF永赢,永赢中证科创创业人工智能交易型开放式指数证券投资基金,永赢基金,932456.CSI,20251203,
159141.SZ,股票型ETF,科创创业人工智能ETF永赢,永赢中证科创创业人工智能交易型开放式指数证券投资基金,永赢基金,932456.CSI,20251203,
520530.SH,跨境ETF,港股通科技ETF东财,西藏东财中证港股通科技交易型开放式指数证券投资基金,东财基金,931573.CSI,20251118,
520530.SH,跨境主题指数ETF,港股通科技ETF东财,西藏东财中证港股通科技交易型开放式指数证券投资基金,东财基金,931573.CSI,20251118,
159253.SZ,行业指数ETF,中证银行ETF,博时中证银行交易型开放式指数证券投资基金,博时基金,399986.SZ,20251127,
159253.SZ,股票型ETF,中证银行ETF,博时中证银行交易型开放式指数证券投资基金,博时基金,399986.SZ,20251127,
563510.SH,策略指数ETF,A500红利低波ETF,易方达中证A500红利低波动交易型开放式指数证券投资基金,易方达基金,932422.CSI,20251117,
563510.SH,股票型ETF,A500红利低波ETF,易方达中证A500红利低波动交易型开放式指数证券投资基金,易方达基金,932422.CSI,20251117,
520590.SH,跨境行业指数ETF,恒生科技ETF鹏华,鹏华恒生科技交易型开放式指数证券投资基金(QDII),鹏华基金,HSTECH.HI,20251117,
520590.SH,跨境ETF,恒生科技ETF鹏华,鹏华恒生科技交易型开放式指数证券投资基金(QDII),鹏华基金,HSTECH.HI,20251117,
159118.SZ,跨境策略指数ETF,港股通红利低波ETF基金,华夏标普港股通低波红利交易型开放式指数证券投资基金,华夏基金,SPAHLVHP.SPI,20251117,
159130.SZ,跨境行业指数ETF,恒生生物科技ETF鹏华,鹏华恒生生物科技交易型开放式指数证券投资基金,鹏华基金,HSBIO.HI,20251119,
159130.SZ,跨境ETF,恒生生物科技ETF鹏华,鹏华恒生生物科技交易型开放式指数证券投资基金,鹏华基金,HSBIO.HI,20251119,
159118.SZ,跨境ETF,港股通红利低波ETF基金,华夏标普港股通低波红利交易型开放式指数证券投资基金,华夏基金,SPAHLVHP.SPI,20251117,
159123.SZ,股票型ETF,光伏ETF嘉实,嘉实中证光伏产业交易型开放式指数证券投资基金,嘉实基金,931151.CSI,20251119,
159123.SZ,主题指数ETF,光伏ETF嘉实,嘉实中证光伏产业交易型开放式指数证券投资基金,嘉实基金,931151.CSI,20251119,
515730.SH,股票型ETF,家居家电ETF,永赢中证家居家电交易型开放式指数证券投资基金,永赢基金,931241.CSI,20251114,
159133.SZ,股票型ETF,化工ETF天弘,天弘中证细分化工产业主题交易型开放式指数证券投资基金,天弘基金,000813.CSI,20251117,
515730.SH,主题指数ETF,家居家电ETF,永赢中证家居家电交易型开放式指数证券投资基金,永赢基金,931241.CSI,20251114,
159133.SZ,主题指数ETF,化工ETF天弘,天弘中证细分化工产业主题交易型开放式指数证券投资基金,天弘基金,000813.CSI,20251117,
520950.SH,跨境规模指数ETF,港股通50ETF摩根,摩根恒生港股通50交易型开放式指数证券投资基金,摩根基金,HSSC50.HI,20251029,
520950.SH,跨境ETF,港股通50ETF摩根,摩根恒生港股通50交易型开放式指数证券投资基金,摩根基金,HSSC50.HI,20251029,
159108.SZ,主题指数ETF,工业软件ETF,博时国证工业软件主题交易型开放式指数证券投资基金,博时基金,980034.CNI,20251112,
159108.SZ,股票型ETF,工业软件ETF,博时国证工业软件主题交易型开放式指数证券投资基金,博时基金,980034.CNI,20251112,
159121.SZ,跨境ETF,恒生汽车ETF,易方达恒生港股通汽车主题交易型开放式指数证券投资基金,易方达基金,HSSCAM.HI,20251114,
159121.SZ,跨境主题指数ETF,恒生汽车ETF,易方达恒生港股通汽车主题交易型开放式指数证券投资基金,易方达基金,HSSCAM.HI,20251114,
512620.SH,股票型ETF,农业ETF天弘,天弘中证农业主题交易型开放式指数证券投资基金,天弘基金,000949.CSI,20251112,
512620.SH,主题指数ETF,农业ETF天弘,天弘中证农业主题交易型开放式指数证券投资基金,天弘基金,000949.CSI,20251112,
159127.SZ,跨境主题指数ETF,港股通红利ETF南方,南方中证港股通高股息投资交易型开放式指数证券投资基金,南方基金,930914.CSI,20251112,
159127.SZ,跨境ETF,港股通红利ETF南方,南方中证港股通高股息投资交易型开放式指数证券投资基金,南方基金,930914.CSI,20251112,
515370.SH,主题指数ETF,光伏ETF华夏,华夏中证光伏产业交易型开放式指数证券投资基金,华夏基金,931151.CSI,20251106,
515370.SH,股票型ETF,光伏ETF华夏,华夏中证光伏产业交易型开放式指数证券投资基金,华夏基金,931151.CSI,20251106,
520570.SH,跨境ETF,恒生科技ETF南方,南方恒生科技交易型开放式指数证券投资基金(QDII),南方基金,HSTECH.HI,20251029,
520570.SH,跨境行业指数ETF,恒生科技ETF南方,南方恒生科技交易型开放式指数证券投资基金(QDII),南方基金,HSTECH.HI,20251029,
159129.SZ,股票型ETF,化工ETF嘉实,嘉实中证细分化工产业主题交易型开放式指数证券投资基金,嘉实基金,000813.CSI,20251106,
563530.SH,主题指数ETF,卫星ETF易方达,易方达中证卫星产业交易型开放式指数证券投资基金,易方达基金,931594.CSI,20251105,
563530.SH,股票型ETF,卫星ETF易方达,易方达中证卫星产业交易型开放式指数证券投资基金,易方达基金,931594.CSI,20251105,
159129.SZ,主题指数ETF,化工ETF嘉实,嘉实中证细分化工产业主题交易型开放式指数证券投资基金,嘉实基金,000813.CSI,20251106,
